title,play_num,ping_lun,user_name,score
垃圾站10元废品，给猫做了几个玩具，宠物店老板看了冒冷汗,42.8万,3927,花花与三猫CatLive,949820
今天偶遇了一个洗手间,90.1万,1699,那就叫王师傅吧,941917
我只会心疼谭警官,90.5万,745,幾加乘,937716
民警：不要？那可不行，老板加菜！,69.5万,755,广东共青团,932971
【造纸匠】耗时14天，还原迪迦奥特曼大战加坦杰厄场景/迪迦奥特曼/奥特曼/迪迦/加坦杰厄/邪神加坦杰厄/手工/diy,53.3万,718,造纸匠,931560
这不是广告，是艺术品吧！,67万,148,开眼视频App,925301
十三心疼哥哥,67.1万,791,美尼尔动画君,924624
【好家伙，居然能攒这么多？】198自选指南&明日方舟2周年限定池攒抽规划&礼包性价比排行,45.2万,3346,ko-no-肉肉哒,923380
《光之9R · 奇迹再现》MV 致敬迪迦奥特曼25周年,75.8万,2159,一加手机,918773
迪士尼公主去打疫苗大概就是这样吧,77.7万,837,Always-Kid,917629
INTO1，利路修不想加入的那个团。终极吐槽创造营2021,56.2万,5906,开心嘴炮,913851
工人讨生活费被喷辣椒水，老板：辣椒水不清楚，他们恶意吵架,95.8万,379,微胖委员会,913419
我老婆在印度得新冠了？！,62.3万,3752,印度胖亚瑟,912157
央视调查脱贫掺假，手机被抢走！调查全过程曝光,88.4万,1,长安街知事,911998
为了满潜凯尔希，整整一年半！没用过源石合成玉！！谈谈我的心路历程,51万,2319,桜の狐狸,910963
【医学博士】肚脐眼能不能抠？I 肚脐眼有什么用？,62万,3033,兔叭咯,908477
我 是 你 的 小 猫 咪 咪咪咪咪咪,93.8万,407,紫菜蛋花兔兔,903019
美国精神：”一个也不落下“到”你不需要来“,67.2万,6210,波士顿圆脸,899643
新英雄云缨全面展示：三层被动强化无视地形！大招两段突进很强！,124.8万,3199,包子入侵SSR,886355
艺术难道就不值得尊重吗——艾比路,50.8万,629,菜园一只猪猪,885749
【高能干货】这个视频将会颠覆你对英语学习的一切认知——听说篇,42.1万,2884,罗肖尼Shawney,881169
全员假唱！利路修下班！周深最佳！创造营2021决赛Reaction,88.3万,1.2万,轩邈Elias,862869
【INTO1】救命！！硬吐完泰好笑了哇哈哈哈哈哈哈哈哈哈哈哈哈下班宛如跑路！！,61.8万,3583,快乐源泉bot,862185
师妹穿着旗袍与人比武，传统武术活该没落《师父》,77.3万,596,卡流呜诗,855005
警察抓捕最怕什么？这个你一定要看！,48.4万,1131,蜀黍举个栗子,852835
我还是低估了小奶猫的咬合力！,74万,2537,爪子殿下,850600
哪个罗小黑粉丝干的笑死了哈哈哈哈哈哈,78.7万,462,罗小布0726,847132
西安小巷里藏着25块钱一盆的BiangBiang面，热油一泼，连吃8根，就着蒜太香了！,76.1万,3742,小贝饿了,845104
终极试吃记录，全网最大的皇帝蟹，整整18斤一个钳子就吃饱了,117.3万,2052,拜托了小翔哥,845023
男子用原创拯救苏绣却被抄袭：3年心血3天被抄走,53.4万,605,大米Video,843629
我家电饭煲看完这波，连夜给我做了4菜1汤,81.3万,527,熙狗Game,842596
小 嘎 过 河,59.8万,1099,AB鲜,840404
