这是一个招聘片，这部游戏还有很长的路，请大家耐心等待或是尽己所能
六耳用的是随心铁杆兵，和如意金箍棒是一个级别的武器，同属定海神针
红楼怎么做？林黛玉倒拔垂杨柳？
恐怕他不是你的对手
我听到狗狗委屈的“呜呜”声！！！这灵虚子怕火！！！！！
《早 期 版 本 不 代 表 最 终 品 质》
注意这个蝉的翅膀，不管怎么暂停截图都没有残影
此时开头的老者后背多出飘着白带，好似一个老去的仙人，可能这就是老去的悟空
大  闹  显  卡
缺钱可以众筹，千万不要沾染腾讯和网易，拜托
这个故事，得从一只蝙蝠说起……
悟空是如意金箍棒六耳随心铁杆兵，孙悟空代表道心，六耳猕猴代表人心，道心如真金，人心似顽铁，所以二者兵器一金一铁
都给我哭
没有锁定功能的嘛，无锁看着好难受啊
弹幕呢
弹幕呢
场景互动太牛逼了
这个毛发真的太牛逼了
你们家土地爷是土豆儿变得？
我要打上九重天  汰
500以内必买，不管带不带的动
所以有能力的快加入吧！火速让这款游戏呈现出来！
前方高能
奈何本人没文化，一句卧槽走天下
金翅鹏王
如果作者有心，那么玩家应该是六耳
！！！！！！！
就叫你去存档
帅啊啊啊啊啊啊啊
猴哥你真了不得
最喜欢这个场景，有点克苏鲁的味道
woc，甩毛把火熄灭
凌虚子是来参加佛衣会的狼妖，西游记里被猴哥一棍子打死了
白嫖失败
早期佛学研讨会珍贵影像流出
这个主角不会是齐天大圣的毫毛变得吧？
魂系玩家：这老头    有点脆啊(   ･᷅ὢ･᷄ )
话不多说，我只知道我的电脑肯定运行不了这游戏，，，暂时不想用CPU来烤牛排
昨天被我弟安利来的
打boss前记得存档啊
从这里看得出来团队是玩过战神的，是好事
全体起立！
大圣来了！
齐天大圣！！！
来了来了
哇塞塞！
你和真的狼打过？懂哥
定！
四大天王
太牛逼了
72变
效果太好了
卧槽
出必买
土地
很牛逼
天兵天将
3300万合影
v
“放 下 棍 棒”
看呆了看呆了
电脑拉基玩不了哭了T﹏T
明明是20岁程序猿
1000以内交个朋友
我为什么哭？因为它掉帧了
脱毛是真细节，我家狗栓的铁锁链子脖子上就没有毛
什么随心铁杆兵，哪里来的小说看多了吧
原著就是是定海神针上就刻着如意金箍棒五个字，另一面是一万三千五百斤
这里就是刚刚拿金箍棒的猴子l
三千我都买！！
身外身法！！！
斗战胜佛，差不多百战百胜的意思
这个火光和木头我的妈
刀郎
个人认为六耳换猕猴是不可能的
个人认为六耳
花果山之猴
在来一遍
好家伙 ，毛多弱火
场景建模做的真爽。
冲冲冲
谁敢挖人？我TM直接顺着网线砍他
灵虚子！！他是给佛衣会黑熊精贺寿的那个妖怪！！
棍子碰到地面会弹起来！！！！！
那个说沙僧的这不是沙僧
ohhhhhhhhhhhhhhhhh
第九艺术nb！！！！
你出我就买个ps5 。这平台应该有得玩
草 这也太帅了
通臂猿猴？
出来必买
我一个滑铲过去
猴子清兵线
土地公公，你看我像不像能考得上大学的
我们中国自己的神话故事做的游戏应该支持。
怎么就管不住这手又点进来呢
济公？、
暗黑血统既视感
农批退散
当年斗战神的团队
。。。。
下面沙师弟
这小屁股真是油光发亮！
欢迎 稀客
佛法=达摩棍法
土地公公，你看我像不像未来首富
全体起立
这动作设计特像弗雷德修女
杀BOSS得到能力，克制另一个BOSS，类似洛克人啊
跳跃这里的感觉做得不够舒服，希望制作组参考一下鬼泣
遮天蔽日！！！
???
。。
可以下？
四大天王太震撼了！！！
卧槽！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1
刷六小的gun出去
再来亿遍
听我的！1w我都觉得卖亏了！至少加两个零！
唢呐一响！狗子白养！
这游戏要做好，育碧名声青云直上
给我一个支点
咋满血了？
请拿走我的钱
锁定是开了我没看见？
600交个朋友
大闹天宫!
大闹显卡！
原来可以打碎
截图没有残影！！！
定价100的是在搞笑吗。哪个大3A不是三四百起步的
这里棒子穿模了
别的做不了，2币加一键三连吧
3300w了
这才叫四大天王啊
成佛的是六耳，所以会老
齐天大圣
一个cg30多万弹幕离谱
血条见底，开始使用法术！
芜湖芜湖
3300w冲
土地公公你看我像暴富的人吗
土地公公，您看我像今年高考河北省历史方向的状元吗？
神特么喇叭，这是唢呐，灵魂乐器
炎上
我是逆熵的
是那个男人
视觉冲击视觉冲击
土地公公你看我像985的料吗？
这做成电影肯定也能大赚
国产之光
那就是一口气的事儿
刺客黑神话
此可黑神话
左下角有时间限制
神庙逃亡既视感
封神榜，搜神记，我们有那么多好题材
没有水声
土地不怂不行 听到要被打孤拐，魂都吓飞了
土地老儿
再来亿遍
太强了
终于出了一个原创西游大作了
火，观音庙关键词
，小
韩国人:西游记还有孙悟空是我们韩国的故事
牛
厉害
物理超度
唐僧前世金蝉子
我已经知道我第一次死在哪了
《最终品质》
哇
太厉害了我的天
突
比博燃
踩踩踩
疯狂掉帧
仁王即视感
我國游戲產業一直落後于歐美，現在出了這款游戲終於掙回點面子
显卡攻击
巨灵神？
我当是谁呢，原来是弼马温呐
巫师三背景音乐
我想知道我的2g电脑能玩吗
398交个朋友
这300不过分吧
买不起游戏的你的那个你够了
750ti想试试
看这里，猴哥右手换左手耍金箍棒真是贼帅，这动作不得不说，这里我吹爆炸
植物碰撞不直接卡爆你？？
魔礼青 魔礼寿 魔礼红 魔礼海
狮子狗
、】】
古达
环境破坏爱了
恭迎大圣
这个掩面太漂亮了，有那种戏曲风范
近身站，估计得学学忍龙的操作糸统，这看起来有点难打啊
毛多弱火
感觉打斗设定还是差了点
真的好牛
这讲的是祸起观音院
这是齐天大圣，不是孙悟空
648我买爆
这两下踱步太帅了！
暂停时翅膀不会有重影
土地公公，你看我想欧皇不
《佛法》
改变不是胡编
盾反
卧槽挑衅
唢呐了
卧槽
草  怕是电脑不行了哟
下面的，游戏本身就是艺术品
燃啊~！！！！！！！
为啥要拍电影啊，游戏才是最棒的啊 
好家伙，你脑瓜子是长芽了吗
迅龙？
这BOSS   有压迫感！！！！！
他们是为我而死
土地公公，您看我像欧皇吗？
滚吼既视感怎么回事
我估计这是最简单的难度，技能cd好快
这画质 这配音 太棒了
斗战胜佛
这里猴子的棍子碰到草，我以为会穿模，结果做的跟真的一样
这个翅膀有点牛逼。
我只是个路过的猴子，给我记住
《风轮两立》
《魈》
这个打斗太顺滑了吧
撞到了一次残影但是还是好绝啊
又？
明明是一吃人的兽，非要说是普度众生的仙者
老爹？
这打击感，跟页游似的，砍纸片
介猴卖吗
介 猴
等不及了  啥时候出啊
八成以为是有跟孙悟空同样级别的家伙，怂了吧
我靠这画面买定了
放慢了更震撼 
我：我想玩这个，我的显卡：所有爱是会消失的么
前方高能
音乐让DNA起反应了
听声辨打击感就离谱
打完收手也太帅了吧！！
末法时代，连妖精都称真人
nb
哈哈哈哈哈哈
哪怕我电脑带不动，我也要买！
土地公公你看我是那种运气像的人吗
你是土豆成精了
你的手下给了猴子一把火属性武器专门克你
唢呐一响  我：草tm燃起来了
怎么没声音了
两个视频？150万粉丝？
前方超级高能预警
土地公公，你看我像不像高考提名，清华必上的美女迷呢？
草，好帅
定不住，但是金身可以抗
白骨之后，再无西游！！！白骨之后，再无西游！！白骨之后，再无西游！！！
又知道是和尚？
夏 侯 惇
我也想玩！
卧槽呜呜呜
终于有正面了
bgm也好棒
好帅
呜呜呜
道行太浅，老实回家做宅男
厉害厉害
听过听过
你看我像不像人
前方核能
牛啊牛啊
hhdjj
握草，国产站起来了！！！
绝了！！！！绝了
绝了！！！！！！！！！
国产真棒！！！
出必买
这里看真身就知道不是六耳，排除了
四大名著里的红楼梦真心不适合做游戏，其他的都适合
我都担心我的电脑带不起来
支持
食人魔
土地公公，你看我像欧皇吗
狗头人
我居然看了这么久
显卡在燃烧
赖皮打法
《 源 氏 切 半 藏 》
绝了
《源氏切半藏》
绝了
我电脑连MC都加不了光影，我还是别想着玩了
cv真不错
灵寒子
帅啊
注意这里树枝随着棍子动的
左下角好像有时间限制
动作很流畅，加油
必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊必糊
800
